date,cutlet,udon,shrimp_tempura,croquettes,A_set,B_set,Special_set
2023/04/1,54,64,18,19,42,22,40
2023/04/2,38,44,11,22,39,38,44
2023/04/3,43,63,16,22,41,32,32
2023/04/4,50,62,11,15,32,35,42
2023/04/5,42,57,15,18,39,24,36
2023/04/6,42,47,17,22,42,21,41
2023/04/7,35,57,17,15,35,34,42
2023/04/8,45,50,20,16,46,27,50
2023/04/9,35,42,19,20,34,39,30
2023/04/10,56,52,16,20,39,32,46
2023/04/11,50,55,11,25,42,35,47
2023/04/12,34,53,13,16,32,30,33
2023/04/13,42,58,18,21,31,25,40
2023/04/14,56,65,15,22,30,36,41
2023/04/15,32,44,18,24,50,27,32
2023/04/16,48,52,14,21,30,28,33
2023/04/17,33,55,15,25,46,21,48
2023/04/18,58,69,11,30,42,39,42
2023/04/19,49,67,10,18,46,36,37
2023/04/20,42,40,16,26,32,28,43
2023/04/21,51,42,12,19,40,30,50
2023/04/22,48,44,17,16,38,22,49
2023/04/23,50,43,13,26,49,35,34
2023/04/24,54,66,17,20,45,38,50
2023/04/25,45,45,10,29,30,31,32
